,city,city_ascii,lat,lon,country,iso2,iso3,admin_name,capital,population,id
19586,Campestre,Campestre,-21.7108,-46.2458,Brazil,BR,BRA,Minas Gerais,NA,21054.0,1076284455
19587,Can-Avid,Can-Avid,12.0,125.45,Philippines,PH,PHL,Eastern Samar,NA,21015.0,1608000580
19588,Vyškov,Vyskov,49.2775,16.999,Czechia,CZ,CZE,Jihomoravský Kraj,NA,20676.0,1203012353
19589,La Colonia Tovar,La Colonia Tovar,10.4167,-67.2833,Venezuela,VE,VEN,Aragua,minor,21000.0,1862004978
19590,Essa,Essa,44.25,-79.7833,Canada,CA,CAN,Ontario,NA,21083.0,1124001569
19591,Santo Anastácio,Santo Anastacio,-21.9769,-51.6519,Brazil,BR,BRA,São Paulo,NA,21044.0,1076929183
19592,Günzburg,Gunzburg,48.4525,10.2711,Germany,DE,DEU,Bavaria,minor,20707.0,1276986738
19593,Ballenger Creek,Ballenger Creek,39.3807,-77.4205,United States,US,USA,Maryland,NA,21080.0,1840031490
19594,Bahía de Caráquez,Bahia de Caraquez,-0.6,-80.425,Ecuador,EC,ECU,Manabí,NA,20921.0,1218764402
19595,Sotouboua,Sotouboua,8.5667,0.9833,Togo,TG,TGO,Centrale,NA,21054.0,1768355631
19596,Crowborough,Crowborough,51.06,0.16,United Kingdom,GB,GBR,East Sussex,NA,20607.0,1826550710
19597,Toguchin,Toguchin,55.2333,84.3833,Russia,RU,RUS,Novosibirskaya Oblast’,NA,21064.0,1643095919
19598,Ripley,Ripley,53.05,-1.407,United Kingdom,GB,GBR,Derbyshire,NA,20807.0,1826520155
19599,Steinhagen,Steinhagen,52.005,8.4147,Germany,DE,DEU,North Rhine-Westphalia,NA,20698.0,1276279674
19600,Chascomús,Chascomus,-35.575,-58.0089,Argentina,AR,ARG,Buenos Aires,minor,21054.0,1032352363
19601,Elektrougli,Elektrougli,55.7167,38.2167,Russia,RU,RUS,Moskovskaya Oblast’,NA,20823.0,1643003501
19602,Saka,Saka,34.6167,-3.4167,Morocco,MA,MAR,Oriental,NA,21048.0,1504711196
19603,El Retén,El Reten,10.6106,-74.2683,Colombia,CO,COL,Magdalena,minor,20981.0,1170874464
19604,Rolla,Rolla,37.9458,-91.7608,United States,US,USA,Missouri,NA,21059.0,1840009849
